,AR,MKI67,STAT1,...
PS1,1.460049683,67.53737347,111.5231754,
PS2,10.56274751,82.38394781,177.2340839,
PS3,9.75431648,64.19278296,139.2661141,
PS4,1.835748942,89.58995517,131.1497343,
PS5,31.59487352,65.26999575,145.7988036,
PS6,24.83103476,59.35232125,150.1298305,
PS7,2.971687275,108.9746587,155.3080201,
PS8,46.15863934,68.18395605,85.4148823,
PS9,65.09870813,48.6309993,94.54722224,
PS10,57.17288022,65.24565796,129.5909401,
